"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.307341030501465,"red"
"2","E.encrasicolus","> 34",0.105608840228923,"red"
"3","Euphausiacea","< 18",0.0882302257453042,"orange"
"4","G.argenteus","< 18",0.118042391866276,"aquamarine"
"5","M.merluccius","18 - 34",0.161285130219232,"yellow"
"6","M.poutassou","< 18",0.127692572807169,"cyan"
"7","M.poutassou","18 - 34",0.374303834143515,"cyan"
"8","M.poutassou","> 34",0.532969891646119,"cyan"
"9","Osteichthyes","< 18",0.151869722557298,"brown"
"10","Osteichthyes","18 - 34",0.0627917458069085,"brown"
"11","Osteichthyes","> 34",0.239347840839686,"brown"
"12","otros","< 18",0.206824056522488,"purple"
"13","otros","18 - 34",0.046492611788945,"purple"
"14","otros","> 34",0.122073427285272,"purple"
"15","S.pilchardus","18 - 34",0.102115056498085,"tan             "
"16","S.sarda","18 - 34",0.128770563049287,NA
"17","S.scombrus","18 - 34",0.0521520780349612,"darkorange2"
"18","T.trachurus","18 - 34",0.0720889804590671,"violetred"
