"","ABREV","TALLA","vol.relativo","COLOR"
"1","A.sphyraena","< 18",0.102864549578743,"pink"
"2","Euphausiacea","< 18",0.101657809462087,"orange"
"3","G.argenteus","< 18",0.196396629941672,"aquamarine"
"4","G.Gobiidae","< 18",0.074349967595593,NA
"5","M.merluccius","18 - 34",0.208385638965604,"yellow"
"6","M.merluccius","> 34",0.160866481223922,"yellow"
"7","M.muelleri","< 18",0.0566753078418665,"green"
"8","M.norvegica","< 18",0.133849643551523,"blue"
"9","M.poutassou","18 - 34",0.223449661059503,"cyan"
"10","M.poutassou","> 34",0.307927677329625,"cyan"
"11","Osteichthyes","< 18",0.126716785482826,"brown"
"12","Osteichthyes","> 34",0.109763560500695,"brown"
"13","Osteichthyes","18 - 34",0.181437777219851,"brown"
"14","otros","< 18",0.20748930654569,"purple"
"15","otros","> 34",0.223598052851182,"purple"
"16","otros","18 - 34",0.0519708762239518,"purple"
"17","S.pilchardus","18 - 34",0.1841158255921,"tan             "
"18","S.pilchardus","> 34",0.197844228094576,"tan             "
"19","T.trachurus","18 - 34",0.150640220938991,"violetred"
