"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.crassicornis","< 18",0.0746201329534663,NA
"2","Euphausiacea","< 18",0.12181861348528,"orange"
"3","G.argenteus","< 18",0.260636277302944,"aquamarine"
"4","G.macrophthalmus","< 18",0.0570987654320988,"chocolate"
"5","M.poutassou","18 - 34",0.752757352941177,"cyan"
"6","M.poutassou","> 34",0.583898637663284,"cyan"
"7","Osteichthyes","< 18",0.0701804368471035,"brown"
"8","otros","< 18",0.361039886039886,"purple"
"9","otros","18 - 34",0.0787683823529412,"purple"
"10","otros","> 34",0.294374053932836,"purple"
"11","S.pilchardus","18 - 34",0.101102941176471,"tan             "
"12","T.trachurus","< 18",0.0546058879392213,"violetred"
"13","T.trachurus","> 34",0.12172730840388,"violetred"
"14","T.trachurus","18 - 34",0.0673713235294118,"violetred"
