"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.522265051395007,"red"
"2","E.encrasicolus","> 34",0.0821968463125375,"red"
"3","M.merluccius","18 - 34",0.0914031467469775,"yellow"
"4","M.norvegica","< 18",0.0826450073421439,"blue"
"5","M.poutassou","18 - 34",0.549425864301959,"cyan"
"6","M.poutassou","> 34",0.607493541639778,"cyan"
"7","Osteichthyes","< 18",0.125055983847283,"brown"
"8","Osteichthyes","> 34",0.109453072663467,"brown"
"9","Osteichthyes","18 - 34",0.0965805927881368,"brown"
"10","otros","> 34",0.0880785123543668,"purple"
"11","otros","< 18",0.259020741556535,"purple"
"12","otros","18 - 34",0.0412088763299932,"purple"
"13","S.pilchardus","18 - 34",0.221381519832934,"tan             "
"14","S.pilchardus","> 34",0.111343974006765,"tan             "
