"","ABREV","TALLA","vol.relativo","COLOR"
"1","G.argenteus","< 18",0.242212121212121,"aquamarine"
"2","M.merluccius","< 18",0.186616161616162,"yellow"
"3","M.merluccius","> 34",0.0646549604052924,"yellow"
"4","M.poutassou","> 34",0.59505189120063,"cyan"
"5","M.poutassou","18 - 34",0.253315556803031,"cyan"
"6","M.poutassou","< 18",0.177575757575758,"cyan"
"7","Osteichthyes","> 34",0.174861049628646,"brown"
"8","Osteichthyes","< 18",0.163686868686869,"brown"
"9","Osteichthyes","18 - 34",0.261104483895867,"brown"
"10","otros","< 18",0.229909090909091,"purple"
"11","otros","> 34",0.0662403882412736,"purple"
"12","otros","18 - 34",0.0249105325942039,"purple"
"13","S.scombrus","18 - 34",0.161392183004701,"darkorange2"
"14","S.scombrus","> 34",0.0991917105241585,"darkorange2"
"15","T.trachurus","18 - 34",0.299277243702196,"violetred"
