"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.macrophthalma","18 - 34",0.0604299289602362,"red4"
"2","Euphausiacea","< 18",0.179166666666667,"orange"
"3","G.argenteus","< 18",0.461111111111111,"aquamarine"
"4","M.poutassou","> 34",0.602069239952248,"cyan"
"5","M.poutassou","18 - 34",0.342513146969278,"cyan"
"6","Osteichthyes","< 18",0.108047385620915,"brown"
"7","Osteichthyes","> 34",0.0545662554715479,"brown"
"8","Osteichthyes","18 - 34",0.073761417104899,"brown"
"9","otros","< 18",0.251674836601307,"purple"
"10","otros","18 - 34",0.0214041885782821,"purple"
"11","otros","> 34",0.0996319140469558,"purple"
"12","S.pilchardus","> 34",0.165638678869877,"tan             "
"13","S.pilchardus","18 - 34",0.178522003874896,"tan             "
"14","S.scombrus","18 - 34",0.0553556601162469,"darkorange2"
"15","T.trachurus","18 - 34",0.199741673586124,"violetred"
"16","T.trachurus","> 34",0.0780939116593713,"violetred"
"17","Trisopterus sp","18 - 34",0.0682719808100378,"brown4"
