"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.672420364377125,"red"
"2","E.encrasicolus","> 34",0.394619946402962,"red"
"3","M.merluccius","18 - 34",0.155233684426598,"yellow"
"4","M.poutassou","18 - 34",0.598868461903601,"cyan"
"5","M.poutassou","> 34",0.329309659704185,"cyan"
"6","Osteichthyes","< 18",0.195232540947249,"brown"
"7","Osteichthyes","> 34",0.107792195292316,"brown"
"8","Osteichthyes","18 - 34",0.0585141185677448,"brown"
"9","otros","> 34",0.0773914824984634,"purple"
"10","otros","< 18",0.132347094675625,"purple"
"11","otros","18 - 34",0.0765391868833951,"purple"
"12","S.pilchardus","18 - 34",0.110844548218661,"tan             "
"13","S.pilchardus","> 34",0.0908867161020736,"tan             "
