"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.491579713661733,"red"
"2","E.encrasicolus","> 34",0.0613529300923309,"red"
"3","M.norvegica","< 18",0.168066003397234,"blue"
"4","M.poutassou","18 - 34",0.605029729993177,"cyan"
"5","M.poutassou","> 34",0.725032975315621,"cyan"
"6","Osteichthyes","< 18",0.0820310604222276,"brown"
"7","otros","< 18",0.258323222518806,"purple"
"8","otros","> 34",0.158027133973997,"purple"
"9","otros","18 - 34",0.185723104916009,"purple"
"10","S.pilchardus","> 34",0.0555869606180516,"tan             "
"11","S.pilchardus","18 - 34",0.0649835916431101,"tan             "
"12","S.scombrus","18 - 34",0.0682327712252656,"darkorange2"
"13","T.trachurus","18 - 34",0.0760308022224388,"violetred"
