"","ABREV","TALLA","vol.relativo","COLOR"
"1","B.boops","18 - 34",0.0601366304243241,"lemonchiffon"
"2","Euphausiacea","< 18",0.193928934010152,"orange"
"3","G.argenteus","< 18",0.300203045685279,"aquamarine"
"4","M.merluccius","> 34",0.0823786046181676,"yellow"
"5","M.muelleri","< 18",0.0563654822335025,"green"
"6","M.poutassou","18 - 34",0.149860483017416,"cyan"
"7","M.poutassou","> 34",0.573014578086759,"cyan"
"8","Osteichthyes","< 18",0.218456852791878,"brown"
"9","Osteichthyes","> 34",0.187688433299046,"brown"
"10","Osteichthyes","18 - 34",0.177763879534302,"brown"
"11","otros","> 34",0.0948462384279786,"purple"
"12","otros","< 18",0.231045685279188,"purple"
"13","otros","18 - 34",0.0409410179928798,"purple"
"14","S.scombrus","> 34",0.0620721455680488,"darkorange2"
"15","S.scombrus","18 - 34",0.571297989031079,"darkorange2"
