"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.641338174273859,"red"
"2","E.encrasicolus","> 34",0.25224602626123,"red"
"3","E.encrasicolus","18 - 34",0.0943730093193347,"red"
"4","Euphausiacea","< 18",0.0884336099585062,"orange"
"5","M.merluccius","> 34",0.126123013130615,"yellow"
"6","M.merluccius","18 - 34",0.177539223781998,"yellow"
"7","M.poutassou","18 - 34",0.421198537218356,"cyan"
"8","M.poutassou","> 34",0.5286800276434,"cyan"
"9","Osteichthyes","< 18",0.10347510373444,"brown"
"10","Osteichthyes","> 34",0.0578783690393918,"brown"
"11","otros","< 18",0.166753112033195,"purple"
"12","otros","18 - 34",0.0591600802170579,"purple"
"13","otros","> 34",0.0350725639253628,"purple"
"14","S.pilchardus","18 - 34",0.247729149463254,"tan             "
