"","ABREV","TALLA","vol.relativo","COLOR"
"1","Euphausiacea","< 18",0.0758278145695364,"orange"
"2","M.merluccius","18 - 34",0.117516081147947,"yellow"
"3","M.muelleri","< 18",0.0606328182487123,"green"
"4","M.norvegica","< 18",0.533664459161148,"blue"
"5","M.poutassou","18 - 34",0.338879267689263,"cyan"
"6","M.poutassou","> 34",0.539430728422771,"cyan"
"7","Osteichthyes","< 18",0.129470198675497,"brown"
"8","Osteichthyes","> 34",0.142391858804326,"brown"
"9","Osteichthyes","18 - 34",0.150977238990599,"brown"
"10","otros","> 34",0.167697918792083,"purple"
"11","otros","< 18",0.200404709345107,"purple"
"12","otros","18 - 34",0.0320385947550718,"purple"
"13","S.scombrus","> 34",0.0969189961232401,"darkorange2"
"14","S.scombrus","18 - 34",0.120608609599208,"darkorange2"
"15","T.trachurus","18 - 34",0.239980207817912,"violetred"
"16","T.trachurus","> 34",0.0535604978575801,"violetred"
