"","ABREV","TALLA","vol.relativo","COLOR"
"1","G.argenteus","< 18",0.393160535117057,"aquamarine"
"2","M.poutassou","< 18",0.224414715719064,"cyan"
"3","M.poutassou","18 - 34",0.360346072233282,"cyan"
"4","M.poutassou","> 34",0.694393854830655,"cyan"
"5","Osteichthyes","< 18",0.0764882943143813,"brown"
"6","Osteichthyes","18 - 34",0.0869118193949205,"brown"
"7","otros","< 18",0.305936454849498,"purple"
"8","otros","18 - 34",0.0172926738564522,"purple"
"9","otros","> 34",0.110103398642893,"purple"
"10","S.scombrus","18 - 34",0.458053507754906,"darkorange2"
"11","S.scombrus","> 34",0.195502746526452,"darkorange2"
"12","T.trachurus","18 - 34",0.0773959267604401,"violetred"
