"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.crassicornis","< 18",0.0538329368226275,NA
"2","E.encrasicolus","< 18",0.200634417129263,"red"
"3","E.encrasicolus","> 34",0.0707519588352239,"red"
"4","Euphausiacea","< 18",0.115836637589215,"orange"
"5","G.argenteus","< 18",0.0961617763679619,"aquamarine"
"6","M.merluccius","18 - 34",0.358200730178412,"yellow"
"7","M.merluccius","> 34",0.131570868904222,"yellow"
"8","M.muelleri","< 18",0.0546656093047846,"green"
"9","M.norvegica","< 18",0.0762754427702881,"blue"
"10","M.poutassou","< 18",0.0581549035157283,"cyan"
"11","M.poutassou","18 - 34",0.0726734173727354,"cyan"
"12","M.poutassou","> 34",0.394836861185826,"cyan"
"13","Osteichthyes","< 18",0.0807084324610098,"brown"
"14","Osteichthyes","18 - 34",0.0738237927946545,"brown"
"15","Osteichthyes","> 34",0.120804584259151,"brown"
"16","otros","< 18",0.263729844039122,"purple"
"17","otros","18 - 34",0.0429358682923469,"purple"
"18","otros","> 34",0.107348555724477,"purple"
"19","S.pilchardus","18 - 34",0.0654405180133636,"tan             "
"20","S.scombrus","18 - 34",0.243300957498106,"darkorange2"
"21","S.scombrus","> 34",0.1746871710911,"darkorange2"
"22","T.trachurus","18 - 34",0.143624715850382,"violetred"
