"","ABREV","TALLA","vol.relativo","COLOR"
"1","B.boops","< 18",0.0566343042071197,"lemonchiffon"
"2","B.boops","> 34",0.0642770719903206,"lemonchiffon"
"3","C.macrophthalma","> 34",0.0541439806412583,"red4"
"4","Euphausiacea","< 18",0.141484627831715,"orange"
"5","G.argenteus","< 18",0.0809870550161812,"aquamarine"
"6","M.merluccius","< 18",0.0800970873786408,"yellow"
"7","M.poutassou","> 34",0.747746521476104,"cyan"
"8","M.poutassou","18 - 34",0.484750491408281,"cyan"
"9","Osteichthyes","< 18",0.227144012944984,"brown"
"10","Osteichthyes","> 34",0.0855595886267392,"brown"
"11","Osteichthyes","18 - 34",0.106271003741044,"brown"
"12","otros","18 - 34",0.0221926320461607,"purple"
"13","otros","< 18",0.413652912621359,"purple"
"14","otros","> 34",0.0482728372655777,"purple"
"15","T.trachurus","18 - 34",0.386785872804515,"violetred"
