"","ABREV","TALLA","vol.relativo","COLOR"
"1","A.glaber","< 18",0.0626545754328112,"cyan4"
"2","C.macrophthalma","18 - 34",0.0714285714285714,"red4"
"3","E.encrasicolus","< 18",0.344600164880462,"red"
"4","E.encrasicolus","> 34",0.111356389502085,"red"
"5","G.argenteus","< 18",0.129225061830173,"aquamarine"
"6","M.poutassou","18 - 34",0.761083743842365,"cyan"
"7","M.poutassou","> 34",0.760730929605102,"cyan"
"8","Osteichthyes","< 18",0.06760098928277,"brown"
"9","otros","< 18",0.230997526793075,"purple"
"10","otros","18 - 34",0.0788177339901478,"purple"
"11","otros","> 34",0.127912680892813,"purple"
"12","Processa sp","< 18",0.164921681780709,"royalblue"
"13","S.pilchardus","18 - 34",0.0886699507389163,"tan             "
