"","ABREV","TALLA","vol.relativo","COLOR"
"1","B.boops","18 - 34",0.0691450418937607,"lemonchiffon"
"2","E.encrasicolus","< 18",0.387106184364061,"red"
"3","E.encrasicolus","> 34",0.0838593327321912,"red"
"4","E.encrasicolus","18 - 34",0.229805580411616,"red"
"5","Euphausiacea","< 18",0.0917639050952937,"orange"
"6","G.argenteus","< 18",0.142648774795799,"aquamarine"
"7","M.merluccius","18 - 34",0.0605019116570406,"yellow"
"8","M.poutassou","18 - 34",0.200418937606768,"cyan"
"9","M.poutassou","< 18",0.137300661221315,"cyan"
"10","M.poutassou","> 34",0.750973440445938,"cyan"
"11","Osteichthyes","< 18",0.0568455853753403,"brown"
"12","Osteichthyes","> 34",0.0793056807935077,"brown"
"13","Osteichthyes","18 - 34",0.112503050516554,"brown"
"14","otros","< 18",0.184334889148191,"purple"
"15","otros","> 34",0.085861546028363,"purple"
"16","otros","18 - 34",0.0425038639876352,"purple"
"17","S.pilchardus","18 - 34",0.211502481086797,"tan             "
"18","S.scombrus","18 - 34",0.0736191328398275,"darkorange2"
