"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.0560316413974951,"red"
"2","E.encrasicolus","> 34",0.0576753243812414,"red"
"3","E.encrasicolus","18 - 34",0.0679791086767831,"red"
"4","Euphausiacea","< 18",0.0770428477257746,"orange"
"5","G.argenteus","< 18",0.0893210283454186,"aquamarine"
"6","M.merluccius","< 18",0.159789057350033,"yellow"
"7","M.poutassou","< 18",0.28793671720501,"cyan"
"8","M.poutassou","18 - 34",0.19163748466074,"cyan"
"9","M.poutassou","> 34",0.703663866307375,"cyan"
"10","Osteichthyes","< 18",0.0569452867501648,"brown"
"11","Osteichthyes","18 - 34",0.128962018496902,"brown"
"12","Osteichthyes","> 34",0.0850331740676162,"brown"
"13","otros","< 18",0.272933421226104,"purple"
"14","otros","> 34",0.0869285115826181,"purple"
"15","otros","18 - 34",0.0563137888719284,"purple"
"16","S.pilchardus","18 - 34",0.314133069947023,"tan             "
"17","S.scombrus","18 - 34",0.0967555595462572,"darkorange2"
"18","T.trachurus","18 - 34",0.144218969800365,"violetred"
"19","T.trachurus","> 34",0.066699123661149,"violetred"
