"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.0610771793448084,"red"
"2","E.encrasicolus","> 34",0.05028962611901,"red"
"3","Euphausiacea","< 18",0.231843420322043,"orange"
"4","G.argenteus","< 18",0.112853970016657,"aquamarine"
"5","M.merluccius","> 34",0.134857161664034,"yellow"
"6","M.merluccius","< 18",0.0719044975013881,"yellow"
"7","M.poutassou","> 34",0.68045681937862,"cyan"
"8","M.poutassou","< 18",0.161021654636313,"cyan"
"9","M.poutassou","18 - 34",0.619127368884971,"cyan"
"10","Osteichthyes","< 18",0.0603831204886174,"brown"
"11","Osteichthyes","18 - 34",0.0776553547818422,"brown"
"12","otros","< 18",0.300916157690172,"purple"
"13","otros","> 34",0.071336887835703,"purple"
"14","otros","18 - 34",0.109299250771265,"purple"
"15","S.pilchardus","18 - 34",0.193918025561922,"tan             "
"16","T.trachurus","> 34",0.063059505002633,"violetred"
