"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.crassicornis","< 18",0.0828813104189044,NA
"2","Euphausiacea","< 18",0.0777121374865736,"orange"
"3","G.argenteus","< 18",0.2734291084855,"aquamarine"
"4","M.poutassou","18 - 34",0.557639230216643,"cyan"
"5","M.poutassou","> 34",0.615315355872687,"cyan"
"6","Osteichthyes","< 18",0.193971535982814,"brown"
"7","Osteichthyes","> 34",0.0712083014450997,"brown"
"8","otros","< 18",0.372005907626208,"purple"
"9","otros","> 34",0.159512447665781,"purple"
"10","otros","18 - 34",0.122121819350448,"purple"
"11","S.pilchardus","> 34",0.153963895016432,"tan             "
"12","S.pilchardus","18 - 34",0.192067753034141,"tan             "
"13","T.trachurus","18 - 34",0.128171197398767,"violetred"
