"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.481584739545121,"red"
"2","Euphausiacea","< 18",0.0819332355099046,"orange"
"3","L.typicus","< 18",0.0661041819515774,"gray50"
"4","M.poutassou","18 - 34",0.432373790910295,"cyan"
"5","M.poutassou","> 34",0.659772785954041,"cyan"
"6","Osteichthyes","< 18",0.0886463683052091,"brown"
"7","Osteichthyes","18 - 34",0.0920895720153703,"brown"
"8","otros","< 18",0.281731474688188,"purple"
"9","otros","18 - 34",0.0738538492116073,"purple"
"10","otros","> 34",0.211902917634908,"purple"
"11","S.pilchardus","18 - 34",0.115940108652445,"tan             "
"12","S.scombrus","18 - 34",0.0997084934411024,"darkorange2"
"13","S.scombrus","> 34",0.128324296411051,"darkorange2"
"14","T.trachurus","18 - 34",0.18603418576918,"violetred"
