"","ABREV","TALLA","vol.relativo","COLOR"
"1","Alloteuthis sp","< 18",0.0668662077222388,"lightblue4"
"2","E.encrasicolus","> 34",0.0551040820153779,"red"
"3","Euphausiacea","< 18",0.154483687518707,"orange"
"4","G.argenteus","< 18",0.179512122119126,"aquamarine"
"5","M.merluccius","18 - 34",0.208139354438237,"yellow"
"6","M.merluccius","> 34",0.353425642307933,"yellow"
"7","M.norvegica","< 18",0.115010475905418,"blue"
"8","M.poutassou","> 34",0.0738419703694443,"cyan"
"9","Osteichthyes","< 18",0.109982041304998,"brown"
"10","Osteichthyes","> 34",0.0829686816278052,"brown"
"11","otros","> 34",0.141260861411515,"purple"
"12","otros","18 - 34",0.181473722325678,"purple"
"13","otros","< 18",0.374145465429512,"purple"
"14","S.pilchardus","18 - 34",0.365973515414856,"tan             "
"15","S.pilchardus","> 34",0.114709007938989,"tan             "
"16","T.trachurus","> 34",0.178689754328937,"violetred"
"17","T.trachurus","18 - 34",0.244413407821229,"violetred"
