"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.macrophthalma","> 34",0.0694842406876791,"red4"
"2","C.macrophthalma","18 - 34",0.106302201974184,"red4"
"3","E.encrasicolus","< 18",0.484525080042689,"red"
"4","E.encrasicolus","> 34",0.0819305157593123,"red"
"5","Euphausiacea","< 18",0.0655282817502668,"orange"
"6","G.argenteus","< 18",0.0781750266808965,"aquamarine"
"7","M.merluccius","18 - 34",0.455580865603645,"yellow"
"8","M.poutassou","18 - 34",0.303720577069096,"cyan"
"9","M.poutassou","> 34",0.474677650429799,"cyan"
"10","Osteichthyes","< 18",0.097812166488794,"brown"
"11","otros","18 - 34",0.0584662110858011,"purple"
"12","otros","> 34",0.183219914040115,"purple"
"13","otros","< 18",0.215154749199573,"purple"
"14","Processa sp","< 18",0.0588046958377801,"royalblue"
"15","S.pilchardus","18 - 34",0.0759301442672741,"tan             "
"16","S.pilchardus","> 34",0.118767908309456,"tan             "
"17","T.minutus","> 34",0.071919770773639,"cyan3"
