"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.06196640044065,"red"
"2","Euphausiacea","< 18",0.102038006058937,"orange"
"3","G.argenteus","< 18",0.144519416138805,"aquamarine"
"4","M.poutassou","< 18",0.118424676397687,"cyan"
"5","M.poutassou","> 34",0.717007098363031,"cyan"
"6","M.poutassou","18 - 34",0.608060665636849,"cyan"
"7","Osteichthyes","> 34",0.11621758655657,"brown"
"8","Osteichthyes","< 18",0.253043238777196,"brown"
"9","Osteichthyes","18 - 34",0.093526190141834,"brown"
"10","otros","> 34",0.1041938287701,"purple"
"11","otros","< 18",0.265133572018728,"purple"
"12","otros","18 - 34",0.0919814632776295,"purple"
"13","Processa sp","< 18",0.0548746901679978,"royalblue"
"14","S.pilchardus","18 - 34",0.105322286195759,"tan             "
"15","T.trachurus","18 - 34",0.101109394747929,"violetred"
"16","T.trachurus","> 34",0.0625814863102999,"violetred"
