"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.macrophthalma","18 - 34",0.054005400540054,"red4"
"2","Euphausiacea","< 18",0.258711991800478,"orange"
"3","G.argenteus","< 18",0.256132558934062,"aquamarine"
"4","M.merluccius","18 - 34",0.081008100810081,"yellow"
"5","M.poutassou","18 - 34",0.518226822682268,"cyan"
"6","M.poutassou","> 34",0.553538390379278,"cyan"
"7","Osteichthyes","< 18",0.252955244277417,"brown"
"8","Osteichthyes","18 - 34",0.0983348334833483,"brown"
"9","Osteichthyes","> 34",0.205268270120259,"brown"
"10","otros","18 - 34",0.0724572457245724,"purple"
"11","otros","> 34",0.145448658649399,"purple"
"12","otros","< 18",0.232200204988042,"purple"
"13","S.pilchardus","18 - 34",0.175967596759676,"tan             "
"14","S.pilchardus","> 34",0.0957446808510638,"tan             "
