"","ABREV","TALLA","vol.relativo","COLOR"
"1","Euphausiacea","< 18",0.142586897772808,"orange"
"2","G.argenteus","< 18",0.219271270151896,"aquamarine"
"3","M.merluccius","< 18",0.0605721740751095,"yellow"
"4","M.poutassou","< 18",0.0861988631068866,"cyan"
"5","M.poutassou","> 34",0.412928604978863,"cyan"
"6","M.poutassou","18 - 34",0.421751717091446,"cyan"
"7","Osteichthyes","> 34",0.165371066228276,"brown"
"8","Osteichthyes","18 - 34",0.106204234546177,"brown"
"9","Osteichthyes","< 18",0.114914733016494,"brown"
"10","otros","< 18",0.376456061876805,"purple"
"11","otros","> 34",0.213063644903711,"purple"
"12","otros","18 - 34",0.0852017937219731,"purple"
"13","S.pilchardus","> 34",0.146606387975575,"tan             "
"14","S.pilchardus","18 - 34",0.204915706419935,"tan             "
"15","S.scombrus","18 - 34",0.0769143440994494,"darkorange2"
"16","T.trachurus","18 - 34",0.105012204121019,"violetred"
"17","Trachurus sp","> 34",0.0620302959135744,"violet"
