year_mat;month;lt;sex;mat;year_sample;lab
1980;5;56;2;1;1980;ieo
1980;5;51;2;1;1980;ieo
1980;5;53;2;0;1980;ieo
1980;5;51;2;0;1980;ieo
1980;5;49;2;0;1980;ieo
1980;5;55;2;0;1980;ieo
1980;5;46;2;0;1980;ieo
1980;5;46;2;0;1980;ieo
1980;5;45;2;0;1980;ieo
1980;5;42;1;0;1980;ieo
1980;5;48;2;0;1980;ieo
1980;5;44;1;0;1980;ieo
1980;5;57;2;1;1980;ieo
1980;5;38;2;0;1980;ieo
1980;5;39;2;1;1980;ieo
1980;5;39;2;0;1980;ieo
1980;5;40;1;0;1980;ieo
1980;5;49;2;0;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;53;2;0;1980;ieo
1980;5;59;2;1;1980;ieo
1980;5;58;2;1;1980;ieo
1980;5;49;2;0;1980;ieo
1980;5;53;2;0;1980;ieo
1980;5;48;2;0;1980;ieo
1980;5;47;2;0;1980;ieo
1980;5;49;2;0;1980;ieo
1980;5;45;2;0;1980;ieo
1980;5;51;2;0;1980;ieo
1980;5;51;2;0;1980;ieo
1980;5;50;1;1;1980;ieo
1980;5;56;2;1;1980;ieo
1980;5;57;2;0;1980;ieo
1980;5;62;2;1;1980;ieo
1980;5;60;2;1;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;35;2;0;1980;ieo
1980;5;43;2;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;44;1;1;1980;ieo
1980;5;39;2;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;38;2;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;39;2;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;34;1;0;1980;ieo
1980;5;35;2;0;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;41;1;0;1980;ieo
1980;5;38;1;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;42;1;0;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;42;2;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;35;2;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;38;2;0;1980;ieo
1980;5;40;1;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;35;1;0;1980;ieo
1980;5;34;2;0;1980;ieo
1980;5;38;1;0;1980;ieo
1980;5;39;1;0;1980;ieo
1980;5;53;1;1;1980;ieo
1980;5;43;1;1;1980;ieo
1980;5;66;2;1;1980;ieo
1980;5;52;1;1;1980;ieo
1980;5;49;1;1;1980;ieo
1980;5;31;1;0;1980;ieo
1980;5;66;2;1;1980;ieo
1980;5;51;1;1;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;40;1;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;43;1;1;1980;ieo
1980;5;42;1;1;1980;ieo
1980;5;43;1;1;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;34;1;0;1980;ieo
1980;5;46;1;1;1980;ieo
1980;5;39;1;0;1980;ieo
1980;5;36;2;0;1980;ieo
1980;5;48;1;1;1980;ieo
1980;5;35;1;0;1980;ieo
1980;5;34;1;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;39;1;1;1980;ieo
1980;5;41;1;1;1980;ieo
1980;5;37;3;;1980;ieo
1980;5;35;1;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;36;1;0;1980;ieo
1980;5;34;1;0;1980;ieo
1980;5;45;1;1;1980;ieo
1980;5;36;1;1;1980;ieo
1980;5;44;1;1;1980;ieo
1980;5;46;1;1;1980;ieo
1980;5;34;2;0;1980;ieo
1980;5;49;1;1;1980;ieo
1980;5;34;2;0;1980;ieo
1980;5;42;1;1;1980;ieo
1980;5;43;1;1;1980;ieo
1980;5;41;1;1;1980;ieo
1980;5;41;1;1;1980;ieo
1980;5;37;2;0;1980;ieo
1980;5;33;2;0;1980;ieo
1980;5;44;1;1;1980;ieo
1980;5;35;2;0;1980;ieo
1980;5;32;1;0;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;40;2;0;1980;ieo
1980;5;43;1;1;1980;ieo
1980;5;31;1;0;1980;ieo
1980;5;35;2;0;1980;ieo
1980;5;32;1;0;1980;ieo
1980;5;37;1;0;1980;ieo
1980;5;42;1;1;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;34;1;0;1980;ieo
1980;5;30;1;0;1980;ieo
1980;5;33;2;0;1980;ieo
1980;5;42;1;1;1980;ieo
1980;5;39;1;0;1980;ieo
1980;5;35;1;0;1980;ieo
1980;5;34;2;0;1980;ieo
1980;5;31;2;0;1980;ieo
1980;5;46;1;1;1980;ieo
1980;5;39;2;0;1980;ieo
1980;5;38;2;0;1980;ieo
1980;5;47;1;1;1980;ieo
1980;5;44;1;1;1980;ieo
