"","year","step","area","fleet","amount"
"1",1994,1,1,"Art",99919
"2",1994,2,1,"Art",116923
"3",1994,3,1,"Art",85339
"4",1994,4,1,"Art",71436
"5",1995,1,1,"Art",105606
"6",1995,2,1,"Art",148720
"7",1995,3,1,"Art",73283
"8",1995,4,1,"Art",37889
"9",1996,1,1,"Art",58114
"10",1996,2,1,"Art",84748
"11",1996,3,1,"Art",35966
"12",1996,4,1,"Art",47904
"13",1997,1,1,"Art",74638
"14",1997,2,1,"Art",119701
"15",1997,3,1,"Art",69673
"16",1997,4,1,"Art",39782
"17",1998,1,1,"Art",71274
"18",1998,2,1,"Art",94235
"19",1998,3,1,"Art",78623
"20",1998,4,1,"Art",73770
"21",1999,1,1,"Art",84687
"22",1999,2,1,"Art",121312
"23",1999,3,1,"Art",78180
"24",1999,4,1,"Art",50808
"25",2000,1,1,"Art",61339
"26",2000,2,1,"Art",73966
"27",2000,3,1,"Art",53220
"28",2000,4,1,"Art",71704
"29",2001,1,1,"Art",70284
"30",2001,2,1,"Art",93233
"31",2001,3,1,"Art",84751
"32",2001,4,1,"Art",68689
"33",2002,1,1,"Art",64211
"34",2002,2,1,"Art",64803
"35",2002,3,1,"Art",56576
"36",2002,4,1,"Art",35606
"37",2003,1,1,"Art",19606
"38",2003,2,1,"Art",91435
"39",2003,3,1,"Art",122437
"40",2003,4,1,"Art",139905
"41",2004,1,1,"Art",76583
"42",2004,2,1,"Art",131205
"43",2004,3,1,"Art",133538
"44",2004,4,1,"Art",104736
"45",2005,1,1,"Art",121533
"46",2005,2,1,"Art",266323
"47",2005,3,1,"Art",199120
"48",2005,4,1,"Art",129587
"49",2006,1,1,"Art",94347
"50",2006,2,1,"Art",111115
"51",2006,3,1,"Art",126234
"52",2006,4,1,"Art",147783
"53",2007,1,1,"Art",144139
"54",2007,2,1,"Art",187070
"55",2007,3,1,"Art",179895
"56",2007,4,1,"Art",316368
"57",2008,1,1,"Art",330875
"58",2008,2,1,"Art",308592
"59",2008,3,1,"Art",222258
"60",2008,4,1,"Art",253740
"61",2009,1,1,"Art",387215
"62",2009,2,1,"Art",409163
"63",2009,3,1,"Art",297755
"64",2009,4,1,"Art",316509
"65",2010,1,1,"Art",291609
"66",2010,2,1,"Art",421548
"67",2010,3,1,"Art",170868
"68",2010,4,1,"Art",201899
"69",2011,1,1,"Art",297710
"70",2011,2,1,"Art",254048
"71",2011,3,1,"Art",118229
"72",2011,4,1,"Art",98794
"73",2012,1,1,"Art",221095
"74",2012,2,1,"Art",183300
"75",2012,3,1,"Art",143526
"76",2012,4,1,"Art",168136
"77",2013,1,1,"Art",274283
"78",2013,2,1,"Art",242744
"79",2013,3,1,"Art",229135
"80",2013,4,1,"Art",250104
"81",2014,1,1,"Art",284061
"82",2014,2,1,"Art",194822
"83",2014,3,1,"Art",232717
"84",2014,4,1,"Art",247327
"85",2015,1,1,"Art",459965
"86",2015,2,1,"Art",240529
"87",2015,3,1,"Art",234367
"88",2015,4,1,"Art",297133
"89",2016,1,1,"Art",474648
"90",2016,2,1,"Art",271206
"91",2016,3,1,"Art",383731
"92",2016,4,1,"Art",268172
"93",2017,1,1,"Art",278185
"94",2017,2,1,"Art",191674
"95",2017,3,1,"Art",155458
"96",2017,4,1,"Art",208963
"97",2018,1,1,"Art",222117
"98",2018,2,1,"Art",220464
"99",2018,3,1,"Art",200180
"100",2018,4,1,"Art",211075
"101",2019,1,1,"Art",223294
"102",2019,2,1,"Art",161331
"103",2019,3,1,"Art",273083
"104",2019,4,1,"Art",227886
"105",2020,1,1,"Art",249679
"106",2020,2,1,"Art",204481
"107",2020,3,1,"Art",182932
"108",2020,4,1,"Art",148422
"109",2021,1,1,"Art",172351.56
"110",2021,2,1,"Art",138075.67
"111",2021,3,1,"Art",208732.96
"112",2021,4,1,"Art",155159.22
"113",2022,1,1,"Art",116591.62
"114",2022,2,1,"Art",138949.27
"115",2022,3,1,"Art",194435.28
"116",2022,4,1,"Art",180237.97
"117",2023,1,1,"Art",155203.7
"118",2023,2,1,"Art",198442.41
"119",2023,3,1,"Art",186194.97
"120",2023,4,1,"Art",58876.43
"121",1994,1,1,"baka",583070
"122",1994,2,1,"baka",368523
"123",1994,3,1,"baka",411835
"124",1994,4,1,"baka",534369
"125",1995,1,1,"baka",746834
"126",1995,2,1,"baka",926482
"127",1995,3,1,"baka",631306
"128",1995,4,1,"baka",632581
"129",1996,1,1,"baka",744885
"130",1996,2,1,"baka",574743
"131",1996,3,1,"baka",422422
"132",1996,4,1,"baka",432023
"133",1997,1,1,"baka",547854
"134",1997,2,1,"baka",362082
