"","year","step","area","length","age","num","fleet"
"104",1982,1,"area1","allages","len104",0,"SpPal"
"105",1982,1,"area1","allages","len105",0,"SpPal"
"106",1982,1,"area1","allages","len106",0,"SpPal"
"107",1982,1,"area1","allages","len107",0,"SpPal"
"108",1982,1,"area1","allages","len108",0,"SpPal"
"109",1982,1,"area1","allages","len109",0,"SpPal"
"110",1982,1,"area1","allages","len110",0,"SpPal"
"111",1982,1,"area1","allages","len111",0,"SpPal"
"112",1982,1,"area1","allages","len112",0,"SpPal"
"113",1982,1,"area1","allages","len113",0,"SpPal"
"114",1982,1,"area1","allages","len114",0,"SpPal"
"115",1982,1,"area1","allages","len115",0,"SpPal"
"116",1982,1,"area1","allages","len116",0,"SpPal"
"117",1982,1,"area1","allages","len117",0,"SpPal"
"118",1982,1,"area1","allages","len118",0,"SpPal"
"119",1982,1,"area1","allages","len119",0,"SpPal"
"120",1982,1,"area1","allages","len120",0,"SpPal"
"121",1982,1,"area1","allages","len121",0,"SpPal"
"122",1982,1,"area1","allages","len122",0,"SpPal"
"123",1982,1,"area1","allages","len123",0,"SpPal"
"124",1982,1,"area1","allages","len124",0,"SpPal"
"125",1982,1,"area1","allages","len125",0,"SpPal"
"126",1982,1,"area1","allages","len126",0,"SpPal"
"127",1982,1,"area1","allages","len127",0,"SpPal"
"128",1982,1,"area1","allages","len128",0,"SpPal"
"129",1982,1,"area1","allages","len129",0,"SpPal"
"130",1983,1,"area1","allages","len1",0,"SpPal"
"131",1983,1,"area1","allages","len2",0,"SpPal"
"132",1983,1,"area1","allages","len3",0,"SpPal"
"133",1983,1,"area1","allages","len4",0,"SpPal"
"134",1983,1,"area1","allages","len5",0,"SpPal"
"135",1983,1,"area1","allages","len6",0,"SpPal"
"136",1983,1,"area1","allages","len7",0,"SpPal"
"137",1983,1,"area1","allages","len8",0,"SpPal"
"138",1983,1,"area1","allages","len9",0,"SpPal"
"139",1983,1,"area1","allages","len10",0,"SpPal"
"140",1983,1,"area1","allages","len11",0,"SpPal"
"141",1983,1,"area1","allages","len12",0,"SpPal"
"142",1983,1,"area1","allages","len13",0,"SpPal"
"143",1983,1,"area1","allages","len14",0,"SpPal"
"144",1983,1,"area1","allages","len15",0,"SpPal"
"145",1983,1,"area1","allages","len16",0,"SpPal"
"146",1983,1,"area1","allages","len17",0,"SpPal"
"147",1983,1,"area1","allages","len18",0,"SpPal"
"148",1983,1,"area1","allages","len19",0,"SpPal"
"149",1983,1,"area1","allages","len20",0,"SpPal"
"150",1983,1,"area1","allages","len21",0,"SpPal"
"151",1983,1,"area1","allages","len22",0,"SpPal"
"152",1983,1,"area1","allages","len23",0,"SpPal"
"153",1983,1,"area1","allages","len24",0,"SpPal"
"154",1983,1,"area1","allages","len25",0,"SpPal"
"155",1983,1,"area1","allages","len26",0,"SpPal"
"156",1983,1,"area1","allages","len27",0,"SpPal"
"157",1983,1,"area1","allages","len28",0,"SpPal"
"158",1983,1,"area1","allages","len29",0,"SpPal"
"159",1983,1,"area1","allages","len30",1.2,"SpPal"
"160",1983,1,"area1","allages","len31",1.19,"SpPal"
"161",1983,1,"area1","allages","len32",1.56,"SpPal"
"162",1983,1,"area1","allages","len33",2.34,"SpPal"
"163",1983,1,"area1","allages","len34",2.86,"SpPal"
"164",1983,1,"area1","allages","len35",7.49,"SpPal"
"165",1983,1,"area1","allages","len36",22.74,"SpPal"
"166",1983,1,"area1","allages","len37",27.87,"SpPal"
"167",1983,1,"area1","allages","len38",49.66,"SpPal"
"168",1983,1,"area1","allages","len39",61.48,"SpPal"
"169",1983,1,"area1","allages","len40",98.19,"SpPal"
"170",1983,1,"area1","allages","len41",103.8,"SpPal"
"171",1983,1,"area1","allages","len42",185.35,"SpPal"
"172",1983,1,"area1","allages","len43",244.73,"SpPal"
"173",1983,1,"area1","allages","len44",258.56,"SpPal"
"174",1983,1,"area1","allages","len45",199.29,"SpPal"
"175",1983,1,"area1","allages","len46",224.68,"SpPal"
"176",1983,1,"area1","allages","len47",278.71,"SpPal"
"177",1983,1,"area1","allages","len48",325.41,"SpPal"
"178",1983,1,"area1","allages","len49",276.93,"SpPal"
"179",1983,1,"area1","allages","len50",352.88,"SpPal"
"180",1983,1,"area1","allages","len51",402.5,"SpPal"
"181",1983,1,"area1","allages","len52",373.5,"SpPal"
"182",1983,1,"area1","allages","len53",279.84,"SpPal"
"183",1983,1,"area1","allages","len54",269.44,"SpPal"
"184",1983,1,"area1","allages","len55",237.3,"SpPal"
"185",1983,1,"area1","allages","len56",256.52,"SpPal"
"186",1983,1,"area1","allages","len57",181.54,"SpPal"
"187",1983,1,"area1","allages","len58",176.02,"SpPal"
"188",1983,1,"area1","allages","len59",177.12,"SpPal"
"189",1983,1,"area1","allages","len60",151.31,"SpPal"
"190",1983,1,"area1","allages","len61",156.58,"SpPal"
"191",1983,1,"area1","allages","len62",119.2,"SpPal"
"192",1983,1,"area1","allages","len63",80.51,"SpPal"
"193",1983,1,"area1","allages","len64",110.36,"SpPal"
"194",1983,1,"area1","allages","len65",70.39,"SpPal"
"195",1983,1,"area1","allages","len66",34.1,"SpPal"
