"","year","step","area","fleet","amount"
"1",1982,1,1,"spArt",265
"2",1983,1,1,"spArt",374
"3",1984,1,1,"spArt",333
"4",1985,1,1,"spArt",768
"5",1986,1,1,"spArt",840
"6",1987,1,1,"spArt",558
"7",1988,1,1,"spArt",721
"8",1989,1,1,"spArt",571
"9",1990,1,1,"spArt",613
"10",1991,1,1,"spArt",423
"11",1992,1,1,"spArt",404
"12",1993,1,1,"spArt",367
"13",1982,1,1,"spTrw",265
"14",1983,1,1,"spTrw",374
"15",1984,1,1,"spTrw",333
"16",1985,1,1,"spTrw",768
"17",1986,1,1,"spTrw",833
"18",1987,1,1,"spTrw",533
"19",1988,1,1,"spTrw",697
"20",1989,1,1,"spTrw",555
"21",1990,1,1,"spTrw",587
"22",1991,1,1,"spTrw",417
"23",1992,1,1,"spTrw",404
"24",1993,1,1,"spTrw",367
"25",1982,1,1,"cdTrw",485
"26",1983,1,1,"cdTrw",574
"27",1984,1,1,"cdTrw",694
"28",1985,1,1,"cdTrw",789
"29",1986,1,1,"cdTrw",976
"30",1987,1,1,"cdTrw",952
"31",1988,1,1,"cdTrw",986
"32",1989,1,1,"cdTrw",899
"33",1990,1,1,"cdTrw",1196
"34",1991,1,1,"cdTrw",1210
"35",1992,1,1,"cdTrw",975
"36",1993,1,1,"cdTrw",541
"37",1982,1,1,"vol",1248.68
"38",1983,1,1,"vol",2096.729767
"39",1984,1,1,"vol",2272
"40",1985,1,1,"vol",1810
"41",1986,1,1,"vol",2073
"42",1987,1,1,"vol",1967
"43",1988,1,1,"vol",1985
"44",1989,1,1,"vol",1863
"45",1990,1,1,"vol",1723
"46",1991,1,1,"vol",1406
"47",1992,1,1,"vol",1481
"48",1993,1,1,"vol",1255
"49",1982,1,1,"pal",4177
"50",1983,1,1,"pal",6568
"51",1984,1,1,"pal",7521
"52",1985,1,1,"pal",4420
"53",1986,1,1,"pal",3464
"54",1987,1,1,"pal",4409
"55",1988,1,1,"pal",2967
"56",1989,1,1,"pal",1950
"57",1990,1,1,"pal",2128
"58",1991,1,1,"pal",2201
"59",1992,1,1,"pal",2052
"60",1993,1,1,"pal",2743
"61",1982,1,1,"ptArt",5009
"62",1983,1,1,"ptArt",5185
"63",1984,1,1,"ptArt",4296
"64",1985,1,1,"ptArt",3768
"65",1986,1,1,"ptArt",3159
"66",1987,1,1,"ptArt",3470
"67",1988,1,1,"ptArt",4303
"68",1989,1,1,"ptArt",2736
"69",1990,1,1,"ptArt",2261
"70",1991,1,1,"ptArt",2710
"71",1992,1,1,"ptArt",3773
"72",1993,1,1,"ptArt",3042
"73",1982,1,1,"ptTrw",2485
"74",1983,1,1,"ptTrw",2859
"75",1984,1,1,"ptTrw",1219
"76",1985,1,1,"ptTrw",2052
"77",1986,1,1,"ptTrw",1788
"78",1987,1,1,"ptTrw",1328
"79",1988,1,1,"ptTrw",1714
"80",1989,1,1,"ptTrw",1847
"81",1990,1,1,"ptTrw",1138
"82",1991,1,1,"ptTrw",1245
"83",1992,1,1,"ptTrw",1325
"84",1993,1,1,"ptTrw",870
"85",1982,1,1,"trawlers",1500.85559982202
"86",1982,2,1,"trawlers",1802.74463420188
"87",1982,3,1,"trawlers",1750.37333059135
"88",1982,4,1,"trawlers",1353.75513538476
"89",1983,1,1,"trawlers",1909.39707305041
"90",1983,2,1,"trawlers",2293.4620281995
"91",1983,3,1,"trawlers",2226.83495638951
"92",1983,4,1,"trawlers",1722.25502136058
"93",1984,1,1,"trawlers",1654.43670633482
"94",1984,2,1,"trawlers",1987.21775454308
"95",1984,3,1,"trawlers",1929.48734592673
"96",1984,4,1,"trawlers",1492.28359319537
"97",1985,1,1,"trawlers",1729.99201109832
"98",1985,2,1,"trawlers",2077.9706026279
"99",1985,3,1,"trawlers",2017.60374463852
"100",1985,4,1,"trawlers",1560.43364163527
"101",1986,1,1,"trawlers",1557.36757132315
"102",1986,2,1,"trawlers",1870.62368492728
"103",1986,3,1,"trawlers",1816.28043570288
"104",1986,4,1,"trawlers",1404.72830804669
"105",1987,1,1,"trawlers",1131.07655315378
"106",1987,2,1,"trawlers",1358.58652045628
"107",1987,3,1,"trawlers",1319.11839735437
"108",1987,4,1,"trawlers",1020.21852903557
"109",1988,1,1,"trawlers",1332.97922219883
"110",1988,2,1,"trawlers",1601.10082582661
"111",1988,3,1,"trawlers",1554.58745068207
"112",1988,4,1,"trawlers",1202.33250129249
"113",1989,1,1,"trawlers",1350.78038559491
"114",1989,2,1,"trawlers",1622.4825975298
"115",1989,3,1,"trawlers",1575.34806327245
"116",1989,4,1,"trawlers",1218.38895360284
"117",1990,1,1,"trawlers",1234.13592018374
"118",1990,2,1,"trawlers",1482.37572505367
"119",1990,3,1,"trawlers",1439.31141761445
"120",1990,4,1,"trawlers",1113.17693714815
"121",1991,1,1,"trawlers",1142.31939319341
"122",1991,2,1,"trawlers",1372.09079732145
"123",1991,3,1,"trawlers",1332.23036320093
"124",1991,4,1,"trawlers",1030.35944628421
"125",1992,1,1,"trawlers",1197.59669005493
"126",1992,2,1,"trawlers",1438.48682524187
"127",1992,3,1,"trawlers",1396.69752861315
"128",1992,4,1,"trawlers",1080.21895609005
"129",1993,1,1,"trawlers",829.393678756995
"130",1993,2,1,"trawlers",996.221757907579
"131",1993,3,1,"trawlers",967.280647138503
"132",1993,4,1,"trawlers",748.103916196923
"133",1982,1,1,"volpal",1716.14126262446
"134",1982,2,1,"volpal",1804.03916953758
"135",1982,3,1,"volpal",1137.98057414486
"136",1982,4,1,"volpal",767.518993693109
"137",1983,1,1,"volpal",2740.65191508513
"138",1983,2,1,"volpal",2881.02355707048
"139",1983,3,1,"volpal",1817.3379475127
"140",1983,4,1,"volpal",1225.71634733168
"141",1984,1,1,"volpal",3097.52351500297
"142",1984,2,1,"volpal",3256.17352797833
"143",1984,3,1,"volpal",2053.98102405608
"144",1984,4,1,"volpal",1385.32193296262
