"","year","step","area","fleet","amount"
"145",1985,1,1,"volpal",1970.54748273956
"146",1985,2,1,"volpal",2071.47565396763
"147",1985,3,1,"volpal",1306.67842130801
"148",1985,4,1,"volpal",881.298441984796
"149",1986,1,1,"volpal",1751.35175151347
"150",1986,2,1,"volpal",1841.05308122292
"151",1986,3,1,"volpal",1161.32879916252
"152",1986,4,1,"volpal",783.266368101094
"153",1987,1,1,"volpal",2016.72724718257
"154",1987,2,1,"volpal",2120.02066929336
"155",1987,3,1,"volpal",1337.30041962438
"156",1987,4,1,"volpal",901.951663899689
"157",1988,1,1,"volpal",1566.31639398496
"158",1988,2,1,"volpal",1646.54051981504
"159",1988,3,1,"volpal",1038.63106618255
"160",1988,4,1,"volpal",700.51202001745
"161",1989,1,1,"volpal",1206.05097137816
"162",1989,2,1,"volpal",1267.82290025338
"163",1989,3,1,"volpal",799.737531371984
"164",1989,4,1,"volpal",539.388596996473
"165",1990,1,1,"volpal",1218.0703621236
"166",1990,2,1,"volpal",1280.45790424227
"167",1990,3,1,"volpal",807.707640522819
"168",1990,4,1,"volpal",544.764093111308
"169",1991,1,1,"volpal",1140.89322154761
"170",1991,2,1,"volpal",1199.32787862941
"171",1991,3,1,"volpal",756.531150185876
"172",1991,4,1,"volpal",510.247749637104
"173",1992,1,1,"volpal",1117.48703956964
"174",1992,2,1,"volpal",1174.72287086158
"175",1992,3,1,"volpal",741.010411313197
"176",1992,4,1,"volpal",499.779678255584
"177",1993,1,1,"volpal",1264.56642632307
"178",1993,2,1,"volpal",1329.33541967297
"179",1993,3,1,"volpal",838.539378553683
"180",1993,4,1,"volpal",565.558775450275
"181",1982,1,1,"artisanal",979.892305358259
"182",1982,2,1,"artisanal",1779.33602598319
"183",1982,3,1,"artisanal",1490.80117840844
"184",1982,4,1,"artisanal",1023.97049025011
"185",1983,1,1,"artisanal",1032.84439239412
"186",1983,2,1,"artisanal",1875.48899667057
"187",1983,3,1,"artisanal",1571.36210670696
"188",1983,4,1,"artisanal",1079.30450422836
"189",1984,1,1,"artisanal",860.05337154027
"190",1984,2,1,"artisanal",1561.72667126966
"191",1984,3,1,"artisanal",1308.47907752231
"192",1984,4,1,"artisanal",898.740879667759
"193",1985,1,1,"artisanal",842.774269454885
"194",1985,2,1,"artisanal",1530.35043872957
"195",1985,3,1,"artisanal",1282.19077460384
"196",1985,4,1,"artisanal",880.684517211699
"197",1986,1,1,"artisanal",743.450812095217
"198",1986,2,1,"artisanal",1348.56634731227
"199",1986,3,1,"artisanal",1130.16833602702
"200",1986,4,1,"artisanal",776.814504565498
"201",1987,1,1,"artisanal",749.994576858004
"202",1987,2,1,"artisanal",1356.77751460196
"203",1987,3,1,"artisanal",1137.77770518941
"204",1987,4,1,"artisanal",783.450203350624
"205",1988,1,1,"artisanal",934.983983085191
"206",1988,2,1,"artisanal",1692.89422258551
"207",1988,3,1,"artisanal",1419.34961927231
"208",1988,4,1,"artisanal",976.772175056987
"209",1989,1,1,"artisanal",615.457257666673
"210",1989,2,1,"artisanal",1114.31377730578
"211",1989,3,1,"artisanal",934.266719405037
"212",1989,4,1,"artisanal",642.962245622509
"213",1990,1,1,"artisanal",535.649276765325
"214",1990,2,1,"artisanal",967.354949184705
"215",1990,3,1,"artisanal",811.54394313751
"216",1990,4,1,"artisanal",559.45183091246
"217",1991,1,1,"artisanal",582.486583021479
"218",1991,2,1,"artisanal",1056.48364680498
"219",1991,3,1,"artisanal",885.408851892905
"220",1991,4,1,"artisanal",608.62091828064
"221",1992,1,1,"artisanal",776.073219469369
"222",1992,2,1,"artisanal",1409.23143354793
"223",1992,3,1,"artisanal",1180.71227194009
"224",1992,4,1,"artisanal",810.983075042607
"225",1993,1,1,"artisanal",633.381279667483
"226",1993,2,1,"artisanal",1150.1244809588
"227",1993,3,1,"artisanal",963.621770419863
"228",1993,4,1,"artisanal",661.872468953854
"229",1982,1,1,"cdTrw",112.970404475644
"230",1982,2,1,"cdTrw",172.395322239504
"231",1982,3,1,"cdTrw",132.422306886966
"232",1982,4,1,"cdTrw",67.2119663978847
"233",1983,1,1,"cdTrw",133.701056018598
"234",1983,2,1,"cdTrw",204.030752506135
"235",1983,3,1,"cdTrw",156.722482789936
"236",1983,4,1,"cdTrw",79.5457086853316
"237",1984,1,1,"cdTrw",161.652496301231
"238",1984,2,1,"cdTrw",246.685265225188
"239",1984,3,1,"cdTrw",189.486764906298
"240",1984,4,1,"cdTrw",96.1754735672825
"241",1985,1,1,"cdTrw",183.780719858316
"242",1985,2,1,"cdTrw",280.453421127771
"243",1985,3,1,"cdTrw",215.425154915086
"244",1985,4,1,"cdTrw",109.340704098827
"245",1986,1,1,"cdTrw",227.33838096542
"246",1986,2,1,"cdTrw",346.923370114961
"247",1986,3,1,"cdTrw",266.482827879751
"248",1986,4,1,"cdTrw",135.255421039867
"249",1987,1,1,"cdTrw",221.748092908894
"250",1987,2,1,"cdTrw",338.392467571151
"251",1987,3,1,"cdTrw",259.929971456478
"252",1987,4,1,"cdTrw",131.929468063477
"253",1988,1,1,"cdTrw",229.66766765564
"254",1988,2,1,"cdTrw",350.477912841549
"255",1988,3,1,"cdTrw",269.213184722781
"256",1988,4,1,"cdTrw",136.64123478003
"257",1989,1,1,"cdTrw",209.402873450731
"258",1989,2,1,"cdTrw",319.553391120236
"259",1989,3,1,"cdTrw",245.459080188418
"260",1989,4,1,"cdTrw",124.584655240615
"261",1990,1,1,"cdTrw",278.582688150249
"262",1990,2,1,"cdTrw",425.123310099891
"263",1990,3,1,"cdTrw",326.550678426416
"264",1990,4,1,"cdTrw",165.743323323444
"265",1991,1,1,"cdTrw",281.843689516556
"266",1991,2,1,"cdTrw",430.099669917114
"267",1991,3,1,"cdTrw",330.373178006659
"268",1991,4,1,"cdTrw",167.683462559671
"269",1992,1,1,"cdTrw",227.105452296399
"270",1992,2,1,"cdTrw",346.567915842303
"271",1992,3,1,"cdTrw",266.209792195448
"272",1992,4,1,"cdTrw",135.116839665851
"273",1993,1,1,"cdTrw",126.014409940873
"274",1993,2,1,"cdTrw",192.300761508396
"275",1993,3,1,"cdTrw",147.712305207936
"276",1993,4,1,"cdTrw",74.9725233427951
