"","year","step","area","fleet","amount"
"117",1977,1,1,"trawlers",1935.80280359496
"118",1977,2,1,"trawlers",2315.12189830042
"119",1977,3,1,"trawlers",2249.31813197648
"120",1977,4,1,"trawlers",1750.97325151892
"121",1978,1,1,"trawlers",1664.29263319039
"122",1978,2,1,"trawlers",1994.02753250951
"123",1978,3,1,"trawlers",1936.82556570504
"124",1978,4,1,"trawlers",1503.62380687593
"125",1979,1,1,"trawlers",2095.33644843884
"126",1979,2,1,"trawlers",2516.80210922268
"127",1979,3,1,"trawlers",2443.6868133072
"128",1979,4,1,"trawlers",1889.97027946547
"129",1980,1,1,"trawlers",2403.47416144455
"130",1980,2,1,"trawlers",2886.92006646131
"131",1980,3,1,"trawlers",2803.05252114649
"132",1980,4,1,"trawlers",2167.90708526921
"133",1981,1,1,"trawlers",2033.7089058377
"134",1981,2,1,"trawlers",2442.77851777496
"135",1981,3,1,"trawlers",2371.81367173934
"136",1981,4,1,"trawlers",1834.38291830472
"137",1948,1,1,"volpal",1849.50196968137
"138",1948,2,1,"volpal",1944.23039064951
"139",1948,3,1,"volpal",1226.41262649986
"140",1948,4,1,"volpal",827.162612728288
"141",1949,1,1,"volpal",1567.40247085444
"142",1949,2,1,"volpal",1647.68222373904
"143",1949,3,1,"volpal",1039.35124837642
"144",1949,4,1,"volpal",700.997751958108
"145",1950,1,1,"volpal",1254.41616558661
"146",1950,2,1,"volpal",1318.66527942962
"147",1950,3,1,"volpal",831.808697465728
"148",1950,4,1,"volpal",561.019220300683
"149",1951,1,1,"volpal",1516.74810829136
"150",1951,2,1,"volpal",1594.43342880475
"151",1951,3,1,"volpal",1005.76212500534
"152",1951,4,1,"volpal",678.343331703025
"153",1952,1,1,"volpal",1284.47932385576
"154",1952,2,1,"volpal",1350.2682227646
"155",1952,3,1,"volpal",851.743705645308
"156",1952,4,1,"volpal",574.464526630935
"157",1953,1,1,"volpal",1401.84918833119
"158",1953,2,1,"volpal",1473.64957688063
"159",1953,3,1,"volpal",929.572162236815
"160",1953,4,1,"volpal",626.95647600247
"161",1954,1,1,"volpal",1471.85928293058
"162",1954,2,1,"volpal",1547.24547231827
"163",1954,3,1,"volpal",975.99615388789
"164",1954,4,1,"volpal",658.267463346894
"165",1955,1,1,"volpal",1326.48538061539
"166",1955,2,1,"volpal",1394.42576002718
"167",1955,3,1,"volpal",879.598100635952
"168",1955,4,1,"volpal",593.25111903759
"169",1956,1,1,"volpal",948.842693864591
"170",1956,2,1,"volpal",997.440841695941
"171",1956,3,1,"volpal",629.181628023978
"172",1956,4,1,"volpal",424.355969656196
"173",1957,1,1,"volpal",1352.01847393987
"174",1957,2,1,"volpal",1421.26661601032
"175",1957,3,1,"volpal",896.529203473403
"176",1957,4,1,"volpal",604.67042030438
"177",1958,1,1,"volpal",1851.93173178806
"178",1958,2,1,"volpal",1946.78460113823
"179",1958,3,1,"volpal",1228.02381209246
"180",1958,4,1,"volpal",828.249288171418
"181",1959,1,1,"volpal",1784.72204097265
"182",1959,2,1,"volpal",1876.1325415181
"183",1959,3,1,"volpal",1183.45678010743
"184",1959,4,1,"volpal",798.190740320771
"185",1960,1,1,"volpal",2408.55316626175
"186",1960,2,1,"volpal",2531.91526157062
"187",1960,3,1,"volpal",1597.12185394889
"188",1960,4,1,"volpal",1077.19005578744
"189",1961,1,1,"volpal",2645.64029250213
"190",1961,2,1,"volpal",2781.14559688501
"191",1961,3,1,"volpal",1754.33533626373
"192",1961,4,1,"volpal",1183.22379351794
"193",1962,1,1,"volpal",2630.36161891603
"194",1962,2,1,"volpal",2765.08437499833
"195",1962,3,1,"volpal",1744.20398279165
"196",1962,4,1,"volpal",1176.39063098572
"197",1963,1,1,"volpal",2868.02529887664
"198",1963,2,1,"volpal",3014.9207941575
"199",1963,3,1,"volpal",1901.79978033185
"200",1963,4,1,"volpal",1282.68222390611
"201",1964,1,1,"volpal",3695.13279295548
"202",1964,2,1,"volpal",3884.39136119835
"203",1964,3,1,"volpal",2450.25827934373
"204",1964,4,1,"volpal",1652.59391203871
"205",1965,1,1,"volpal",4273.33380952922
"206",1965,2,1,"volpal",4492.20687410681
"207",1965,3,1,"volpal",2833.66583392084
"208",1965,4,1,"volpal",1911.18583104795
"209",1966,1,1,"volpal",3457.75738985498
"210",1966,2,1,"volpal",3634.85798396157
"211",1966,3,1,"volpal",2292.8536394162
"212",1966,4,1,"volpal",1546.43124671326
"213",1967,1,1,"volpal",3112.6899882972
"214",1967,2,1,"volpal",3272.11680286043
"215",1967,3,1,"volpal",2064.03797703717
"216",1967,4,1,"volpal",1392.10491556095
"217",1968,1,1,"volpal",2962.49774417722
"218",1968,2,1,"volpal",3114.2319612951
"219",1968,3,1,"volpal",1964.44486083042
"220",1968,4,1,"volpal",1324.93363859323
"221",1969,1,1,"volpal",2735.50030804087
"222",1969,2,1,"volpal",2875.60809326437
"223",1969,3,1,"volpal",1813.92189495941
"224",1969,4,1,"volpal",1223.4123666859
"225",1970,1,1,"volpal",1754.37060584338
"226",1970,2,1,"volpal",1844.22655626072
"227",1970,3,1,"volpal",1163.33061431517
"228",1970,4,1,"volpal",784.616506395571
"229",1971,1,1,"volpal",1688.47875210279
"230",1971,2,1,"volpal",1774.95983114295
"231",1971,3,1,"volpal",1119.63744570239
"232",1971,4,1,"volpal",755.147341836113
"233",1972,1,1,"volpal",3911.22758927231
"234",1972,2,1,"volpal",4111.55417429488
"235",1972,3,1,"volpal",2593.55165835512
"236",1972,4,1,"volpal",1749.23913829343
"237",1973,1,1,"volpal",5184.99902639164
"238",1973,2,1,"volpal",5450.56607013804
"239",1973,3,1,"volpal",3438.19491873897
"240",1973,4,1,"volpal",2318.91471972999
"241",1974,1,1,"volpal",3401.71901442458
"242",1974,2,1,"volpal",3575.94941595761
"243",1974,3,1,"volpal",2255.69435420158
"244",1974,4,1,"volpal",1521.36890571881
"245",1975,1,1,"volpal",4405.75061780099
"246",1975,2,1,"volpal",4631.40585150457
"247",1975,3,1,"volpal",2921.47198297473
"248",1975,4,1,"volpal",1970.4073052041
"249",1976,1,1,"volpal",3896.24204295326
"250",1976,2,1,"volpal",4095.80109316731
"251",1976,3,1,"volpal",2583.61467882119
"252",1976,4,1,"volpal",1742.53707262947
"253",1977,1,1,"volpal",2292.7885868148
"254",1977,2,1,"volpal",2410.22141251769
"255",1977,3,1,"volpal",1520.35786869093
"256",1977,4,1,"volpal",1025.4160465858
"257",1978,1,1,"volpal",1993.07766043378
"258",1978,2,1,"volpal",2095.15978996635
"259",1978,3,1,"volpal",1321.61827801238
"260",1978,4,1,"volpal",891.374733306615
"261",1979,1,1,"volpal",2547.54287423867
"262",1979,2,1,"volpal",2678.02379168632
"263",1979,3,1,"volpal",1689.2865207677
"264",1979,4,1,"volpal",1139.35116287312
"265",1980,1,1,"volpal",2922.18153221494
"266",1980,2,1,"volpal",3071.85081987548
"267",1980,3,1,"volpal",1937.7110091159
"268",1980,4,1,"volpal",1306.9028044721
"269",1981,1,1,"volpal",2472.61514264341
"270",1981,2,1,"volpal",2599.25838604849
"271",1981,3,1,"volpal",1639.60162309807
"272",1981,4,1,"volpal",1105.84083455332
